nombre,direccion,href
Ilustre Municipalidad del Quisco,Avenida Isidoro Dubournais N° 240,https://www.google.com/maps/dir/Avenida%20Isidoro%20Dubournais%20N%C2%B0%20240
Integramedica,Maipu 0110,"https://www.google.com/maps/dir/-27.3692305,-70.3417917/@-27.3692305,-70.3417917,17z"
Integramedica Marina Arauco,"Calle 13 Norte 853, 4° piso","https://www.google.com/maps/dir/Calle%2013%20Norte%20853,%204%C2%B0%20piso"
Integramédica Rancagua,Cuevas 405 3° piso (Mall Open Plaza Rancagua),"https://www.google.com/maps/dir/-34.1686941,-70.7430067/@-34.1686941,-70.7430067,17z"
IPS Lautaro,Pedro de Valdivia 272-A,"https://www.google.com/maps/dir/-38.531697,-72.4366421/@-38.531697,-72.4366421,17z"
IPS Melipilla,Serrano 541,"https://www.google.com/maps/dir/-33.686642,-71.2158711/@-33.686642,-71.2158711,17z"
IPS Parral,Urrutia 273,"https://www.google.com/maps/dir/-36.140659,-71.8232317/@-36.140659,-71.8232317,17z"
IPS Pichilemu,"Aníbal Pinto 249, Local A-1","https://www.google.com/maps/dir/-34.3873174,-72.0085368/@-34.3873174,-72.0085368,17z"
IPS Alameda,Av. Libertador B. O´Higgins 1353,"https://www.google.com/maps/dir/-33.444137,-70.6572929/@-33.444137,-70.6572929,17z"
IPS Alto del Carmen,Padre Alonso Garcia S/N,"https://www.google.com/maps/dir/-28.7736566,-70.4788188/@-28.7736566,-70.4788188,17z"
IPS Alto Hospicio,Avda la Pampa local 6-A,"https://www.google.com/maps/dir/-20.2750765,-70.1066762/@-20.2750765,-70.1066762,17z"
IPS Ancud,Errázuriz 881 esq. Los Carrera,https://www.google.com/maps/dir/Err%C3%A1zuriz%20881%20esq.%20Los%20Carrera
IPS Andacollo,Calle Umeneta N° 912,https://www.google.com/maps/dir/Calle%20Umeneta%20N%C2%B0%20912
IPS Angol,Ilabaca 343,"https://www.google.com/maps/dir/-37.798694,-72.70791/@-37.798694,-72.70791,17z"
IPS Antofagasta,Sucre #311 piso 2,"https://www.google.com/maps/dir/-23.6457153,-70.3998586/@-23.6457153,-70.3998586,17z"
IPS Arauco,Caupolican 512 - Local C,"https://www.google.com/maps/dir/-37.2472876,-73.3201943/@-37.2472876,-73.3201943,17z"
IPS Arica,Juan Noé 933,"https://www.google.com/maps/dir/-18.4794689,-70.3127227/@-18.4794689,-70.3127227,17z"
IPS Buin,Avda. Condell 455,"https://www.google.com/maps/dir/-33.7313016,-70.7443544/@-33.7313016,-70.7443544,17z"
IPS Bulnes,Bianchi S/N - Edificios Públicos,https://www.google.com/maps/dir/Bianchi%20S/N%20-%20Edificios%20P%C3%BAblicos
IPS Cabildo,Calle Zoila Gac N° 798-A,https://www.google.com/maps/dir/Calle%20Zoila%20Gac%20N%C2%B0%20798-A
IPS Cabrero,Av. Vial S/N,"https://www.google.com/maps/dir/-37.0362804,-72.4080371/@-37.0362804,-72.4080371,17z"
IPS Calama,General Velasquez S/N,"https://www.google.com/maps/dir/-22.4619845,-68.9295699/@-22.4619845,-68.9295699,17z"
IPS Calbuco,Federico Errázuriz 342,https://www.google.com/maps/dir/Federico%20Err%C3%A1zuriz%20342
IPS Caldera,Av. Batallon de Atacama 367,"https://www.google.com/maps/dir/-27.0688318,-70.8112842/@-27.0688318,-70.8112842,17z"
IPS Canela,"Calle Ignacio Carrera Pinto Nº 360, Canela Baja","https://www.google.com/maps/dir/Calle%20Ignacio%20Carrera%20Pinto%20N%C2%BA%20360,%20Canela%20Baja"
IPS Carahue,Caupolicán 355 - Local 1,https://www.google.com/maps/dir/Caupolic%C3%A1n%20355%20-%20Local%201
IPS Casablanca,Avenida Portales N° 316,https://www.google.com/maps/dir/Avenida%20Portales%20N%C2%B0%20316
IPS Castro,Serrano 406 -Piso 1,https://www.google.com/maps/dir/Serrano%20406%20-Piso%201
IPS Cauquenes,Victoria 348,"https://www.google.com/maps/dir/-35.9676309,-72.3160555/@-35.9676309,-72.3160555,17z"
IPS Cañete,Séptimo de Línea 647-B,"https://www.google.com/maps/dir/-37.8009756,-73.4032374/@-37.8009756,-73.4032374,17z"
IPS Chaitén,Almirante Riveros 538,https://www.google.com/maps/dir/Almirante%20Riveros%20538
IPS Chanco,Pedro de Valdivia 22,"https://www.google.com/maps/dir/-35.73365,-72.5354827/@-35.73365,-72.5354827,17z"
IPS Chañaral,Comercio N° 450,"https://www.google.com/maps/dir/-26.3471975,-70.6244862/@-26.3471975,-70.6244862,17z"
IPS Chile Chico,Ramón Freire 22,https://www.google.com/maps/dir/Ram%C3%B3n%20Freire%2022
