region,comuna,titulo,comunas_atiende,direccion,horario
region metropolitana,providencia,unidad de providencia,comunas: providencia,"av. suecia 211, providencia.",horario de atencion: lunes a viernes 9:00 a 14:00 hrs.
region metropolitana,santiago centro,direccion regional santiago centro,comunas: santiago centro.,"alonso ovalle 680, santiago centro.",horario de atencion: lunes a viernes 9:00 a 14:00 hrs.
region metropolitana,til-til,direccion regional santiago norte,"comunas: independencia, recoleta, huechuraba, conchali, quilicura, colina, lampa y til til.","avenida recoleta 672 - 676, recoleta.",horario de atencion: lunes a viernes 9:00 a 14:00 hrs.
region del libertador gral. bernardo o'higgins,chimbarongo,unidad de san fernando,"comunas: san fernando, chimbarongo, nancagua, placilla.",chacabuco nº 428,horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region del libertador gral. bernardo o'higgins,chepica,unidad de santa cruz,"comunas: santa cruz, lolol, palmilla, peralillo, chepica, pumanque.","21 de mayo 172, santa cruz.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region del libertador gral. bernardo o'higgins,codegua,direccion regional rancagua,"comunas: rancagua, machali, graneros, san francisco de mostazal, donihue, codegua, rengo, coltauco, requinoa, olivar, malloa, quinta de tilcoco, coinco.",calle estado 154 de rancagua,horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region del libertador gral. bernardo o'higgins,la estrella,unidad de pichilemu,"comunas: pichilemu, paredones, marchigue, litueche, la estrella.","av. joaquin prieto 203, pichilemu.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region del libertador gral. bernardo o'higgins,las cabras,unidad de san vicente de tagua tagua,"comunas: san vicente, las cabras, peumo, pichidegua.",arturo prat 855,horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region del maule,cauquenes,unidad de cauquenes,"comunas: cauquenes, pelluhue, chanco.","calle claudina urrutia 525-c, cauquenes.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region del maule,colbun,unidad de linares,"comunas: linares, yerbas buenas, colbun, longavi, villa alegre.","independencia esquina freire s/nº, edificio bernardo o'higgins, primer piso, linares.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region del maule,constitucion,unidad de constitucion,"comunas: constitucion, empedrado.","montt esq. freire, constitucion.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region del maule,curepto,direccion regional talca,"comunas: talca, san clemente, pelarco, rio claro, pencahue, maule, curepto, san javier, san rafael.","uno oriente 1150, talca",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region del maule,curico,unidad de curico,"comunas: curico, teno, romeral, molina, hualane, sagrada familia, licanten, vichuquen, rauco.","calle carmen nº 560, segundo piso.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region del maule,parral,unidad de parral,"comunas: parral, retiro.","dieciocho 720, parral.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de nuble,bulnes,direccion regional chillan,"comunas: chillan, coihueco, pinto, el carmen, san ignacio, pemuco, yungay, bulnes, quillon, ranquil, portezuelo, coelemu, trehuaco, quirihue, cobquecura, ninhue, chillan viejo.",libertad esq. arauco s/n.,horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de nuble,san carlos,unidad de san carlos,"comunas: san carlos, san gregorio de niquen, san nicolas, san fabian de alico.","maipu 680, san carlos.",horario de atencion: lunes a viernes 9:00 a 13:00 hrs.
region del bio bio,alto bio-bio,unidad de los angeles,"comunas: los angeles, santa barbara, laja, quilleco, nacimiento, negrete, mulchen, quilaco, yumbel, cabrero, san rosendo, tucapel, antuco, alto bio-bio.",direccion: caupolican nº 480,horario de atencion: 9:00 a 13:00 hrs.
region del bio bio,arauco,direccion regional concepcion,"comunas: concepcion, chiguayante, san pedro de la paz, penco, hualqui, florida, tome, coronel, lota, santa juana, arauco.","bernardo o'higgins 749, concepcion.",horario de atencion: lunes a viernes 9:00 a 13:00 hrs.
region del bio bio,contulmo,unidad de lebu,"comunas: lebu, curanilahue, los alamos, canete, contulmo, tirua.","freire 530, lebu.",horario de atencion: lunes a viernes 9:00 a 13:00 hrs.
region del bio bio,hualpen,unidad de talcahuano,"comunas: talcahuano, hualpen.","avenida colon 3817, talcahuano.",horario de atencion: lunes a viernes 9:00 a 13:00 hrs.
region del bio bio,san fabian de alico,unidad de san carlos,"comunas: san carlos, san gregorio de ninquen, san nicolas, san fabian de alico.","maipu 680, san carlos.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de la araucania,angol,unidad de angol,"comunas: angol, puren, los sauces, renaico, collipulli, ercilla.","lautaro 226, primer piso angol",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de la araucania,carahue,direccion regional temuco,"comunas: temuco, vilcun, freire, cunco, lautaro, perquenco, galvarino, nueva imperial, carahue, puerto saavedra, pitrufquen, gorbea, tolten, loncoche, melipeuco, teodoro schmidt, padre las casas, cholchol.","claro solar 873, temuco.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de la araucania,curacautin,unidad de victoria,"comunas: victoria, traiguen, lumaco, curacautin, lonquimay.","calama esq. lagos, victoria.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de la araucania,curarrehue,unidad de villarrica,"comunas: villarrica, pucon, curarrehue.",camilo henriquez 225 - villarrica,horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de los rios,corral,direccion regional valdivia,"comunas: valdivia, miriquina, mafil, corral, los lagos, paillaco, futrono.","san carlos 50, valdivia.",horario de atencion:lunes a viernes 8:30 a 13:30 hrs.
region de los rios,la union,unidad de la union,"comunas: la union, rio bueno, lago ranco.","cayetano letelier nº 341, of. 4, 2º piso, la union",horario de atencion: lunes a viernes 08:30 a 13:30 hrs.
region de los rios,lanco,unidad de lanco,comunas: lanco,condor esq. dieciocho,horario de atencion: lunes a viernes 08:30 a 13:30 hrs.
region de los rios,mariquina,direccion regional valdivia,"comunas: valdivia, miriquina, mafil, corral, los lagos, paillaco, futrono.","san carlos 50, valdivia.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de los rios,panguipulli,unidad de panguipulli,comunas: panguipulli,calle juan pablo ii. nº 80,horario de atencion: lunes a viernes 08:30 a 13:30 hrs.
region de los lagos,ancud,unidad ancud,"comunas: ancud, quemchi.",libertad nº 669,horario de atencion: lunes a viernes 9:00 a 13:00 hrs.
region de los lagos,calbuco,puerto montt,"comunas: puerto montt, calbuco, maullin, los muermos, hualaihue","san martin 080, piso 3, edificio gobernacion, puerto montt",horario de atencion: lunes a viernes 9:00 a 13:00 hrs.
region de los lagos,calbuco,puerto montt,"comunas: puerto montt, calbuco, maullin, los muermos, hualaihue","san martin 080, piso 3, edificio gobernacion, puerto montt",horario de atencion: lunes a viernes 9:00 a 13:00 hrs.
region de los lagos,castro,unidad castro,"comunas: castro, achao, curaco de velez, chonchi, dalcahue, puqueldon, queilen, quellon,quinchao.",o´higgins s/n edificio gobernacion,horario de atencion: lunes a viernes 9:00 a 13:00 hrs.
region de los lagos,chaiten,oficina de chaiten,"comunas: chaiten, palena, futaleufu","almirante riveros nº459, chaiten",horario de atencion: lunes a viernes 9:00 a 13:00 hrs.
region de los lagos,cochamo,unidad de puerto varas,"comunas: puerto varas, cochamo, fresia, llanquihue, frutillar.",san jose nº 228,horario de atencion: lunes a viernes 9:00 a 13:00 hrs.
region de los lagos,osorno,unidad osorno,"comunas: osorno, puyehue, purranque, rio negro, san pablo, san juan de la costa, puerto octay.",o´higgins nº 667 - edificio gobernacion,horario de atencion: lunes a viernes 9:00 a 13:00 hrs.
region de aysen,aysen,unidad de aysen,"comunas: aysen, cisnes, lago verde y guaitecas.","sargento aldea n° 1080, puerto aysen.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de aysen,chile chico,unidad de chile chico,comunas: chile chico.,"bernardo o'higgins 192, chile chico.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de aysen,cochrane,oficina cochrane,"comunas: o'higgins, tortel, guadal, puerto beltrand y cochrane","esmeralda n° 199, gobernacion capitan prat",horario de atencion: atencion bimensual segun calendario enviado a gobernacion
region de aysen,coyhaique,direccion regional coyhaique,"comunas: coyhaique, rio ibanez, o`higgins, tortel.","cochrane 314, 2º piso, coyhaique.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de aysen,guaitecas,unidad de aysen,"comunas: aysen, cisnes, lago verde y guaitecas.","circunvalacion s/n. ribera sur, aysen.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de aysen,lago verde,unidad de aysen,"comunas: aysen, cisnes, lago verde y guaitecas.","circunvalacion s/n. ribera sur, aysen.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de magallanes,cabo de hornos,direccion regional punta arenas,"comunas: punta arenas, rio verde, san gregorio, laguna blanca, cabo de hornos.","plaza munoz gamero 1007, piso 2, punta arenas.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de magallanes,porvenir,unidad de porvenir,"comunas: porvenir, primavera, timaukel.","bernardo phillipi 175, porvenir.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
region de magallanes,puerto natales,unidad de puerto natales,"comunas: puerto natales, torres del paine.","manuel bulnes 531, puerto natales.",horario de atencion: lunes a viernes 8:30 a 13:30 hrs.
