region,oficina,direccion,horario,href
atacama,freirina,riquelme s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Riquelme+s%2Fn,-28.508466,-71.078594"
atacama,huasco,latorre n° 115,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Latorre+N%C2%B0+115,-28.465249,-71.220504"
atacama,san felix,esperanza s/n,miercoles 14:30 a 16:30 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Esperanza+s%2Fn,-28.934256,-70.460612"
atacama,so hospital copiapo,los carrera n° 1320,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Los+Carrera+N%C2%B0+1320,-27.373013,-70.321438"
atacama,so hospital vallenar,"av. huasco n° 392, carretera vallenar huasco",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Av.+Huasco+N%C2%B0+392%2C+Carretera+Vallenar+Huasco,-28.576655,-70.754528"
atacama,so los loros,ferrocarril n° 175,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Ferrocarril+N%C2%B0+175,-27.830879,-70.107132"
atacama,tierra amarilla,miguel lemeur n° 544,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Miguel+Lemeur+N%C2%B0+544,-27.480272,-70.266026"
atacama,vallenar,"o'higgins n°14, edificio gobernacion",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?O%27Higgins+n%C2%B014%2C+Edificio+Gobernaci%C3%B3n,-28.574695,-70.761364"
aysen del gral. carlos ibanez del campo,balmaceda,dr. steffens n°163,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Dr.+Steffens+N%C2%B0163,-45.908824,-71.700107"
aysen del gral. carlos ibanez del campo,chile chico,manuel rodriguez n°121,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Manuel+Rodr%C3%ADguez+N%C2%B0121,-46.540857,-71.722233"
aysen del gral. carlos ibanez del campo,cochrane,av. esmeralda n° 199,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Av.+Esmeralda+N%C2%B0+199,-47.254476,-72.572254"
aysen del gral. carlos ibanez del campo,corcovado,calle rosselot s/n esq cisnes,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Calle+Rosselot+s%2Fn+esq+Cisnes,-43.790924,-72.952171"
aysen del gral. carlos ibanez del campo,coyhaique,arturo prat 564 coyhaique,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Arturo+Prat+564+Coyhaique,-45.574734,-72.071766"
aysen del gral. carlos ibanez del campo,guadal,los guindos n° 461,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Los+Guindos+N%C2%B0+461,-46.844930,-72.703273"
aysen del gral. carlos ibanez del campo,la tapera,pascual figueroa s/n,martes y jueves 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Pascual+Figueroa+s%2Fn,-44.555249,-71.400970"
aysen del gral. carlos ibanez del campo,lago verde,av. cacique blanco n° 133,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Av.+Cacique+Blanco+N%C2%B0+133,-44.239880,-71.851451"
aysen del gral. carlos ibanez del campo,melinka,puquitin s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Puquitin+s%2Fn,-43.897954,-73.744869"
aysen del gral. carlos ibanez del campo,puerto aguirre cerda,gomez carreno s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?G%C3%B3mez+Carre%C3%B1o+s%2Fn,-45.163779,-73.523362"
aysen del gral. carlos ibanez del campo,puerto aysen,"yuseff laibe n° 190, edificio publico",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Yuseff+Laibe+N%C2%B0+190%2C+Edificio+Publico,-45.413229,-72.692714"
aysen del gral. carlos ibanez del campo,puerto cisnes,jose maria caro n° 135,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Jos%C3%A9+Maria+Caro+N%C2%B0+135,-44.729510,-72.682285"
aysen del gral. carlos ibanez del campo,puerto presidente ibanez,dr. pasteur 400,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Dr.+Pasteur+400,-46.291992,-71.937919"
aysen del gral. carlos ibanez del campo,puerto puyuhuapi,"victoria n°224, puerto puyuhuapi",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Victoria+N%C2%B0224%2C+Puerto+Puyuhuapi,-44.324689,-72.555200"
aysen del gral. carlos ibanez del campo,so alto coyhaique,presidente errazuriz n° 3145,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Presidente+Err%C3%A1zuriz+N%C2%B0+3145,-45.583170,-72.028452"
aysen del gral. carlos ibanez del campo,so hospital coyhaique,dr. jorge ibar n° 68,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Dr.+Jorge+Ibar+N%C2%B0+68,-45.568357,-72.074385"
aysen del gral. carlos ibanez del campo,so la junta,antonio varas s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Antonio+Varas+s%2Fn,-43.973414,-72.405181"
aysen del gral. carlos ibanez del campo,tortel,sector centro s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Sector+Centro+s%2Fn,-47.795053,-73.531730"
aysen del gral. carlos ibanez del campo,villa o'higgins,lago christie s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Lago+Christie+s%2Fn,-48.467870834668595,-72.55916655063629"
biobio,alto bio bio,"calle nueve n°790, ralco",lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Calle+Nueve+N%C2%B0790%2C+Ralco,-37.879664,-71.638863"
biobio,antuco,calixto padilla s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Calixto+Padilla+s%2Fn,-37.330089,-71.680191"
biobio,arauco,condel n°436,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Condel+N%C2%B0436,-37.245528,-73.317491"
biobio,cabrero,av. vial s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Av.+Vial+s%2Fn,-37.036338,-72.401426"
biobio,canete,saavedra s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Saavedra+s%2Fn,-37.804732,-73.402029"
biobio,carampangue,vicente millar s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Vicente+Millar+s%2Fn,-37.257044,-73.241783"
biobio,chiguayante,av. ocho oriente n°720 (dentro centro comercial),lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Av.+Ocho+Oriente+N%C2%B0720+%28Dentro+centro+comercial%29,-36.899013,-73.033215"
biobio,concepcion,av. chacabuco n° 548,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Av.+Chacabuco+N%C2%B0+548,-36.830999,-73.049220"
biobio,contulmo,nahuelbuta s/n,lunes a viernes 08:30 a 14:00 hrs.,"https://www.registrocivil.cl/BuscadorRegCivil/servlet/com.buscadorregcivil.mapagoogle?Nahuelbuta+S%2FN,-38.015496,-73.229286"
